partition,fold_number,id
train,0,tRNA_tdbD00001178
train,0,tRNA_tdbD00010284
train,0,5S_rRNA_Bacteria_B05880
train,0,tRNA_tdbD00006371
train,0,5S_rRNA_Bacteria_B05600
train,0,5S_rRNA_Bacteria_B05989
train,0,tRNA_tdbD00004131
train,0,5S_rRNA_Bacteria_B02624
train,0,5S_rRNA_Eukaryota_E00612
train,0,5S_rRNA_Bacteria_B03009
train,0,16S_rRNA_Alphaproteobacteria_UNP00490
train,0,5S_rRNA_Bacteria_B01847
train,0,5S_rRNA_Plastids_P00761
train,0,5S_rRNA_Bacteria_B01142
train,0,5S_rRNA_Eukaryota_E00583
train,0,5S_rRNA_Bacteria_B00321
train,0,tmRNA_Phot.asym._TRW-291112
train,0,tRNA_tdbD00009035
train,0,tRNA_tdbD00002075
train,0,5S_rRNA_Bacteria_B06564
train,0,16S_rRNA_Aquifcae_DQ398787
train,0,tRNA_tdbD00009672
train,0,tRNA_tdbD00006231
train,0,tRNA_tdbD00005557
train,0,tRNA_tdbD00009518
train,0,5S_rRNA_Bacteria_B04278
train,0,5S_rRNA_Bacteria_B06276
train,0,5S_rRNA_Bacteria_B00929
train,0,tRNA_tdbD00004380
train,0,5S_rRNA_Bacteria_B02106
train,0,SRP_small_bacterial_Stre.pyog._CP000259
train,0,5S_rRNA_Bacteria_B02443
train,0,tRNA_tdbD00010027
train,0,5S_rRNA_Bacteria_B06792
train,0,tmRNA_Stre.pyog._TRW-1314-1
train,0,tRNA_tdbD00004711
train,0,tRNA_tdbD00011299
train,0,SRP_plant_Prun.arme._CB819242
train,0,5S_rRNA_Eukaryota_E02393
train,0,5S_rRNA_Bacteria_B04150
train,0,tRNA_tdbD00011449
train,0,5S_rRNA_Eukaryota_E02842
train,0,tRNA_tdbD00003726
train,0,tRNA_tdbD00004114
train,0,tRNA_tdbD00006028
train,0,5S_rRNA_Eukaryota_E01536
train,0,5S_rRNA_Eukaryota_E00940
train,0,tRNA_tdbD00005740
train,0,5S_rRNA_Bacteria_B01452
train,0,5S_rRNA_Bacteria_B01269
train,0,5S_rRNA_Bacteria_B05863
train,0,tRNA_tdbD00008465
train,0,tRNA_tdbD00011441
train,0,5S_rRNA_Eukaryota_E02770
train,0,tRNA_tdbD00011086
train,0,5S_rRNA_Bacteria_B04300
train,0,5S_rRNA_Bacteria_B07255
train,0,5S_rRNA_Bacteria_B02600
train,0,5S_rRNA_Eukaryota_E01529
train,0,5S_rRNA_Bacteria_B01560
train,0,5S_rRNA_Bacteria_B01454
train,0,tRNA_tdbD00011653
train,0,5S_rRNA_Eukaryota_E02833
train,0,5S_rRNA_Bacteria_B01655
train,0,5S_rRNA_Eukaryota_E00340
train,0,tRNA_tdbD00008812
train,0,tmRNA_Emil.huxl._AY741371
train,0,tRNA_tdbD00002466
train,0,5S_rRNA_Bacteria_B01917
train,0,telomerase_AF221910.112-554
train,0,tRNA_tdbD00010315
train,0,5S_rRNA_Bacteria_B00728
train,0,tRNA_tdbD00008694
train,0,5S_rRNA_Bacteria_B00985
train,0,5S_rRNA_Eukaryota_E02038
train,0,tmRNA_Trem.prin._AF481102
train,0,tRNA_tdbD00010094
train,0,SRP_long_bacterial_Clos.kluy._CP000673
train,0,5S_rRNA_Eukaryota_E01685
train,0,5S_rRNA_Bacteria_B02943
train,0,tRNA_tdbD00007428
train,0,5S_rRNA_Bacteria_B02673
train,0,16S_rRNA_Bacilli_AJ841854
train,0,tRNA_tdbD00004596
train,0,tRNA_tdbD00004811
train,0,5S_rRNA_Bacteria_B00707
train,0,5S_rRNA_Bacteria_B05958
train,0,5S_rRNA_Eukaryota_E01249
train,0,16S_rRNA_Alphaproteobacteria_AF460887
train,0,5S_rRNA_Eukaryota_E02535
train,0,5S_rRNA_Bacteria_B06334
train,0,tRNA_tdbD00007586
train,0,tRNA_tdbD00007776
train,0,tRNA_tdbD00007485
train,0,tRNA_tdbD00004275
train,0,5S_rRNA_Bacteria_B01965
train,0,5S_rRNA_Eukaryota_E02863
train,0,5S_rRNA_Eukaryota_E02445
train,0,5S_rRNA_Eukaryota_E01898
train,0,5S_rRNA_Bacteria_B04851
train,0,tRNA_tdbD00005441
train,0,5S_rRNA_Bacteria_B02168
train,0,tmRNA_Shew.spec._CP000469
train,0,tRNA_tdbD00006000
train,0,tRNA_tdbD00007748
train,0,5S_rRNA_Bacteria_B06527
train,0,5S_rRNA_Bacteria_B01389
train,0,16S_rRNA_Bacilli_DQ118675
train,0,5S_rRNA_Archaea_A00095
train,0,tRNA_tdbD00009010
train,0,tRNA_tdbD00008657
train,0,5S_rRNA_Bacteria_B02434
train,0,tRNA_tdbD00011485
train,0,5S_rRNA_Bacteria_B05737
train,0,tRNA_tdbD00003857
train,0,tRNA_tdbD00008425
train,0,5S_rRNA_Bacteria_B04855
train,0,5S_rRNA_Bacteria_B02428
train,0,16S_rRNA_Bacilli_AJ876684
train,0,5S_rRNA_Bacteria_B05884
train,0,tRNA_tdbD00011936
train,0,tRNA_tdbD00011070
train,0,tRNA_tdbD00005550
train,0,tRNA_tdbD00008600
train,0,5S_rRNA_Eukaryota_E01647
train,0,5S_rRNA_Eukaryota_E01331
train,0,tRNA_tdbD00009996
train,0,5S_rRNA_Bacteria_B05088
train,0,5S_rRNA_Bacteria_B02844
train,0,tRNA_tdbD00005756
train,0,5S_rRNA_Bacteria_B05753
train,0,tRNA_tdbD00009773
train,0,tRNA_tdbD00005566
train,0,tRNA_tdbD00011032
train,0,tRNA_tdbD00006905
train,0,5S_rRNA_Bacteria_B05789
train,0,tRNA_tdbD00006176
train,0,tRNA_tdbD00008158
train,0,tRNA_tdbD00009588
train,0,tRNA_tdbD00000227
train,0,tRNA_tdbD00005762
train,0,5S_rRNA_Eukaryota_E01404
train,0,5S_rRNA_Eukaryota_E02207
train,0,5S_rRNA_Bacteria_B06735
train,0,RNaseP_a_bacterial_A.eutrophus
train,0,5S_rRNA_Mitochondria_M00055
train,0,tRNA_tdbD00008671
train,0,tRNA_tdbD00011329
train,0,5S_rRNA_Plastids_P00797
train,0,5S_rRNA_Bacteria_B03384
train,0,tRNA_tdbD00006916
train,0,tRNA_tdbD00004297
train,0,tRNA_tdbD00011944
train,0,5S_rRNA_Eukaryota_E00337
train,0,tRNA_tdbD00004052
train,0,tRNA_tdbD00008518
train,0,5S_rRNA_Mitochondria_M00061
train,0,5S_rRNA_Bacteria_B01636
train,0,5S_rRNA_Bacteria_B04653
train,0,tRNA_tdbD00010197
train,0,5S_rRNA_Bacteria_B00826
train,0,tRNA_tdbD00004229
train,0,5S_rRNA_Archaea_A00227
train,0,5S_rRNA_Bacteria_B04528
train,0,5S_rRNA_Bacteria_B07037
train,0,5S_rRNA_Bacteria_B07164
train,0,tRNA_tdbD00010257
train,0,tRNA_tdbD00005046
train,0,5S_rRNA_Eukaryota_E00877
train,0,5S_rRNA_Bacteria_B01803
train,0,tRNA_tdbD00011103
train,0,5S_rRNA_Eukaryota_E01555
train,0,SRP_fungal_Aspe.terr._GSP-341663
train,0,5S_rRNA_Eukaryota_E01618
train,0,tRNA_tdbD00006033
train,0,5S_rRNA_Bacteria_B00303
train,0,5S_rRNA_Eukaryota_E00228
train,0,tRNA_tdbD00005820
train,0,5S_rRNA_Bacteria_B05403
train,0,5S_rRNA_Bacteria_B00741
train,0,5S_rRNA_Bacteria_B06490
train,0,5S_rRNA_Eukaryota_E02626
train,0,tRNA_tdbD00000840
train,0,5S_rRNA_Eukaryota_E01128
train,0,SRP_archael_Hype.buty._CP000493
train,0,tRNA_tdbD00008908
train,0,5S_rRNA_Bacteria_B02546
train,0,5S_rRNA_Bacteria_B03238
train,0,5S_rRNA_Bacteria_B01659
train,0,tRNA_tdbD00009647
train,0,tRNA_tdbD00009796
train,0,tRNA_tdbD00005086
train,0,5S_rRNA_Bacteria_B03054
train,0,5S_rRNA_Bacteria_B07079
train,0,5S_rRNA_Bacteria_B00589
train,0,tRNA_tdbD00004598
train,0,tRNA_tdbD00008759
train,0,tRNA_tdbD00004850
train,0,tRNA_tdbD00004461
train,0,SRP_plant_Bras.napu._EE412262
train,0,5S_rRNA_Bacteria_B07143
train,0,tRNA_tdbD00009456
train,0,5S_rRNA_Bacteria_B02249
train,0,tRNA_tdbD00003895
train,0,tRNA_tdbD00000846
train,0,tRNA_tdbD00004261
train,0,5S_rRNA_Eukaryota_E00990
train,0,tRNA_tdbD00011528
train,0,tRNA_tdbD00004250
train,0,tRNA_tdbD00007929
train,0,5S_rRNA_Bacteria_B03294
