id,fold,partition,min_train_dist
bpRNA_RFAM_37268,0,TR0,
bpRNA_RFAM_12641,0,TR0,
bpRNA_RFAM_21314,0,TR0,
bpRNA_CRW_42535,0,TR0,
bpRNA_RFAM_11145,0,TR0,
bpRNA_RFAM_26953,0,TR0,
bpRNA_RFAM_30896,0,TR0,
bpRNA_RFAM_41622,0,TR0,
bpRNA_RFAM_7943,0,TR0,
bpRNA_RFAM_26965,0,TR0,
bpRNA_RFAM_13985,0,TR0,
bpRNA_RFAM_7948,0,TR0,
bpRNA_RFAM_26976,0,TR0,
bpRNA_RFAM_1543,0,TR0,
bpRNA_RFAM_25971,0,TR0,
bpRNA_RFAM_20057,0,TR0,
bpRNA_RFAM_15797,0,TR0,
bpRNA_RFAM_21949,0,TR0,
bpRNA_RFAM_39904,0,TR0,
bpRNA_RFAM_42726,0,TR0,
bpRNA_RFAM_8223,0,TR0,
bpRNA_RFAM_33157,0,TR0,
bpRNA_RFAM_35694,0,TR0,
bpRNA_tmRNA_355,0,TR0,
bpRNA_RFAM_29781,0,TR0,
bpRNA_RFAM_6058,0,TR0,
bpRNA_RFAM_35155,0,TR0,
bpRNA_RFAM_11376,0,TR0,
bpRNA_RFAM_20218,0,TR0,
bpRNA_RFAM_21688,0,TR0,
bpRNA_RFAM_20235,0,TR0,
bpRNA_CRW_8550,0,TR0,
bpRNA_CRW_23765,0,TR0,
bpRNA_SRP_586,0,TR0,
bpRNA_RFAM_42807,0,TR0,
bpRNA_RFAM_12791,0,TR0,
bpRNA_RFAM_6551,0,TR0,
bpRNA_RFAM_14560,0,TR0,
bpRNA_RFAM_14370,0,TR0,
bpRNA_RFAM_21117,0,TR0,
bpRNA_RFAM_32164,0,TR0,
bpRNA_RFAM_23191,0,TR0,
bpRNA_RFAM_7980,0,TR0,
bpRNA_RFAM_33281,0,TR0,
bpRNA_RFAM_37514,0,TR0,
bpRNA_RFAM_30261,0,TR0,
bpRNA_RFAM_34537,0,TR0,
bpRNA_RFAM_75,0,TR0,
bpRNA_RFAM_24010,0,TR0,
bpRNA_RFAM_20037,0,TR0,
bpRNA_RFAM_19932,0,TR0,
bpRNA_RFAM_36073,0,TR0,
bpRNA_RFAM_19734,0,TR0,
bpRNA_RFAM_10099,0,TR0,
bpRNA_RFAM_2709,0,TR0,
bpRNA_RFAM_1294,0,TR0,
bpRNA_RFAM_14536,0,TR0,
bpRNA_RFAM_2575,0,TR0,
bpRNA_RFAM_20018,0,TR0,
bpRNA_RFAM_35350,0,TR0,
bpRNA_RFAM_19398,0,TR0,
bpRNA_RFAM_1228,0,TR0,
bpRNA_RFAM_22265,0,TR0,
bpRNA_RFAM_18908,0,TR0,
bpRNA_RFAM_20445,0,TR0,
bpRNA_RFAM_19933,0,TR0,
bpRNA_RFAM_9889,0,TR0,
bpRNA_RFAM_27586,0,TR0,
bpRNA_CRW_41409,0,TR0,
bpRNA_RFAM_35930,0,TR0,
