id,folding,method
bpRNA_RFAM_4878,.....((((((....))))))((((............)))).....,MXfold2
bpRNA_RFAM_21093,...............(.(((.(.........(((....))).......).))).)............,MXfold2
bpRNA_RFAM_27096,..............................(((((((((...(((((.(((...............))).)))))....)))))))))......................................,MXfold2
bpRNA_CRW_54070,(((((((........(((.......((((.((((.............)))).))))..)))..)))))))....,MXfold2
bpRNA_RFAM_19896,...((((...(((.(((((.(..(((((((((((.((..((((..((((((((((....))))))))))...))))...)).)))))))))))..).)))))..)))...))))...,MXfold2
bpRNA_RFAM_1650,.((((((..(((.......)))((((..(.......)...))))..((((.......))))))))))..,MXfold2
bpRNA_RFAM_19667,......(((.......)))(.(...((((.((((.(((((((((((.(((................))).))))))))))).)))).))))..).).........,MXfold2
bpRNA_RFAM_15910,.......(((.....)))....................(((.((((((....)))))).)))...............,MXfold2
bpRNA_RFAM_1935,((.......))...............(((((.......))))).....(((((.......)))))........,MXfold2
bpRNA_RFAM_22913,...........((((((.((((((.((((..(((.......)))..)))).)))))).)((((((((((.(((........))).))))))))))....((((.(.(((....))).).))))((((.......))))..)))))...............,MXfold2
bpRNA_RFAM_27145,...((((((.((..(.((((...(((.((.........)).)))...)))).)..))....))))))...........(((((.....((..((((.(((((.........))))).))))..)).....))))).......,MXfold2
bpRNA_RFAM_28490,......((((((((.(((((.((((((....)))))(((((..............))))).......).)))))....))))))))....,MXfold2
bpRNA_RFAM_18003,.(((((((....(((((((.((((........))))..)))))))....)))))))...........((((((((((((..((((((..........))))))..))).))))).))))........,MXfold2
bpRNA_RFAM_31325,(((((((.......)))))))............(((..((((((......))).))).)))...............((..(((.......)))...))............,MXfold2
bpRNA_RFAM_26224,.................................................(((((...((((....))))...)))))..............................................................................................................,MXfold2
bpRNA_RFAM_19853,...........((.((((((((.(((((....(.(.((((((..(((......))).)))))).).)............))))).)))))))))).......,MXfold2
bpRNA_RFAM_20079,......((((((((.(((((.(((((((((((.((((((((...........(((.........))).)))))))).)))))))))))))))).))))))))......,MXfold2
bpRNA_RFAM_20592,.(((..........)))(.(((((((.....((((((((............)))))))).....))))))).)........,MXfold2
bpRNA_RFAM_9133,.......(((((((.......)))))))......(((((((.....((((...(((((.......)))))(((....)))..(((...(((((..(((..(((......((((.(.((.(....).)).)...))))....))))))...)))))....)))....))))..)))))))..........,MXfold2
bpRNA_RFAM_6118,.(((.(((((((.((.(((((((..((((................))))))))))).)).))))))).))).,MXfold2
bpRNA_RFAM_35726,.............((..((..(((....)))..((((..............))))((((...(((((((...((((.......))))......)))))))..))))...((((((...(..(((.(.......)..)))...)..)))))).......))..))..................(((((....)))))...,MXfold2
bpRNA_RFAM_22914,..............((..((((((.(((((...........))))).)))))).)).((((((((....))))))))(((((....................((.(((..........))).)).)))))........,MXfold2
bpRNA_RFAM_6704,.((.(((((((((.((((((((.......(((...((((..(((((((((((..((((((....))))))........))))))))))).))))...)))....(((.(((.((.......)).))).))).)))))))).))))))))).)).....,MXfold2
bpRNA_RFAM_34832,..........((((........))))............(((......((.......))....)))..................,MXfold2
bpRNA_RFAM_28018,.....................................((((((..((.(.......((((.(((....))).))))..)..))..))))))...........................,MXfold2
bpRNA_RFAM_22284,.......(((((((.....(((((((.((........(((((((((((((((....)))))))))).))))))).).))))))............))))))).,MXfold2
bpRNA_RFAM_11948,....................(.(((((.........))))).)...........................((((((....))))))...........................................,MXfold2
bpRNA_RFAM_1793,............................................(((.((((.......)))).))).....,MXfold2
bpRNA_RFAM_22730,..........((((..((((((....))))))(((.....)))....(((((..(((.(.....).))).........)))))))))...,MXfold2
bpRNA_RFAM_8962,.....................................................................................,MXfold2
bpRNA_RFAM_1686,...............................................................,MXfold2
bpRNA_RFAM_18433,.........................((.(((..........(((..(((...........))).))).))).))...((..((((((....((...........))..)))))).)).,MXfold2
bpRNA_CRW_26417,.................((((((((..((.(........).)).(((((.......))))).....(((((.......)))))))))))))..,MXfold2
bpRNA_RFAM_6146,.(.((((((((..((((((..(((.(.(((..(((.(((((((((((............(((((...((((((.(((((((((((.(((.((........)).)))...)))))))))))..)))))).)))))..)))))))))))...)))..))).).)))..))))))..)))))))).)...,MXfold2
bpRNA_RFAM_11713,(.((((.(((((..(((...(((..........)))....)))..))))))))).)...................................,MXfold2
bpRNA_RFAM_11679,............................((((((...(((((((....)))))))....))))))................................,MXfold2
bpRNA_RFAM_42447,...(.((.(((....(((((((............)))))))))).)).)..(((((((.((((..(((((((.(((....))).))))...)))..)))).))))))).....,MXfold2
bpRNA_CRW_16028,.((((.((.(.(((.(((((....(..(((((.(......).).))))..).....)))))....)))........(((((((...)))))))).)).))))..........,MXfold2
bpRNA_RFAM_17079,...((.(((((..((....((((((((........)))).)))).))..)))).).))..........(((((((.((......((((((((.........))).)))))......))))))))).....,MXfold2
bpRNA_RFAM_27884,....(((((.((............((((.......))))..)))))))....(.(((.....))).),MXfold2
bpRNA_RFAM_8194,.((((((((((.((......(((.......)))......)).))).....(((.(......).)))..((.......)).....(((((.......)))))...))))))).,MXfold2
bpRNA_RFAM_24399,..(((..........)))........(((((((((.((((((..........)))).)))))))..((((((....((..(((...........)).)..)).............))))))...)))),MXfold2
bpRNA_RFAM_9969,..(..(...((((.....))))..)..)..............(((.......))).........((((.(..((..........))...).)))).((((.((((....)))).)))).,MXfold2
bpRNA_RFAM_2274,.....................(((((........(.(.......).)....)))))(((((...(((((...((((((.(((.....(((.......)))(((((........))))).))).))))))....(..(((((..((((.(((((((((((((.......))))..))))))(((....))))))))))...)))))..)..))))).....)))))......................................................................................................,MXfold2
bpRNA_SRP_397,........((.((..((((..((..((((..((((((.(((.......)))...))))))(((((((((((((......)))))).........(((....)))..((((((((((........((((((.......)))))).......))))))))))...)))))))((((((((................((((((..((((((.((((....)))).))))))(((......((((((.(((((...........(..((((((.(((......((.((((((((((((.........)))))).))).)))...))......)))(((((..(.((.........)).))))))...(.((((...((((((...(((......)))...)))))))))).)))))))..)..)))))........))))))..)))....)))))).))))))))))))....))...))))......)).)).........,MXfold2
bpRNA_RFAM_33588,.(((((.(.(((....)))).))).)).................................(.((((((.(((....)))))))).).)....,MXfold2
bpRNA_RFAM_6540,....(((...(((((.......)))))....))).............((((((((((((.......))))))..((.....))(((.(((.........))).)))...))))))........,MXfold2
bpRNA_RFAM_11955,...........................................................(((.(((((.(((........((.((......)).))........))))))))....)))........,MXfold2
bpRNA_RFAM_9022,...((..(.((((...((((((.(((........(((....(((((............((((((......(.(.(....).)).....)))))).)))))..)))........))).)((.........))..(((.(.(((....))).)...))).((((.(((((....)))))))))(((...))))))))...)))).).....)),MXfold2
bpRNA_RFAM_12177,..((((.....((.((....((.((...............)).)).....)).))...)))).,MXfold2
bpRNA_RFAM_18692,.(((((.((.(.(((((..(.((((...((((((.............))))))..)))).)..))))).).)).))))).,MXfold2
bpRNA_RFAM_26695,..............................................((((((.(...............))))))).............................................(.(((((((...................))))))).)...........................................................................................((((.......)))).....(((((((((..((((.((((..(((........)))...)))).))))..))))))))),MXfold2
bpRNA_RFAM_37605,(((((.....)))))((((((.((((....)))).))))))......(.(((((((...((((.......))))........))).)))).)........(((((.......)))))......,MXfold2
bpRNA_RFAM_9963,.....(((((((((....)))))))))((.(((((....(((.......)))....))))).))....,MXfold2
bpRNA_RFAM_32126,.((.(...(((.(..(.........)..).))).).)).(((((((((.((((.......)))).).((((.....))))...)))))))).......((((.......)))),MXfold2
bpRNA_RFAM_9122,.(((((((((((....))))(.((.(....((....))....).)).)...((((..(((((((.(((((((......)))))))..)))))))......))))....(((......(........).......))).(.((((......)))).)...)))))))...............((((..........(.((((...)))).)..))))............,MXfold2
bpRNA_RFAM_51,(((((((((....((((............((..(.(((..(.(((((....))))).)....))).)...))..))))...........))))))))).,MXfold2
bpRNA_RFAM_33646,.((((((.((((((((..(((.........))).............)))))))).))))))............................,MXfold2
bpRNA_RFAM_18698,.............(((....)))......((((((.....(((.......))).....))))))..................,MXfold2
bpRNA_RFAM_34132,.........(((((.((.((((((...)))))))))))))......((((((((....)))...)))))(((((........)))))............((((((...............)))))).((((((....))))))......,MXfold2
bpRNA_CRW_52953,(((((((..((((..........)))).(((((.......))))).....(((((.......))))))))))))....,MXfold2
bpRNA_RFAM_19017,........(((((.((.(..(((((((((.(..((((((....((......(((................))).....)).....))))))..).)))))))))..).)).)))))........,MXfold2
bpRNA_RFAM_17436,.(.((....((((....((((((.(.(((((((...(((((....))))).))))))).).((.......))((........))))))))........))))....)).).,MXfold2
bpRNA_RFAM_37379,....((((((......))))))...................(((((.........)))))...(((((......)))))............,MXfold2
bpRNA_CRW_54562,.........................................(((((..............((((((((....)))))))).)))))(((.((((((((..((.......))((........(((..(((((((....)))))))..............)))......))((.(.((((((((....(((((.((.......((((((((((((((........((((((..........................))))))(..((...(((............)))...))..)(.(....(((........)))...).)...))))).))))).))))....)).)))))...)))))...))).).)).)))))))))))............................(.(((((((....))))))).).........,MXfold2
bpRNA_RFAM_31490,....(.((((..............))))..)..................,MXfold2
bpRNA_RFAM_18263,...............................................((((....))))....(((((((.(.((...........(((...(((.......)))....)))..))...........).)))))))........................................................,MXfold2
bpRNA_RFAM_2703,.((((((((((((((.(((((((((..(((.(.((.((.((...........)))).))).)))....((((.......))))))))))))).))))).((((((((.......))))...............((((..(............)..)))).((..........)).(((((((....))))))))))).((((.(..(....((((((.(((((.(.(..........).)))))).))))))....)..).)))).....((((((((....))))))))(((((.(.(((................))).).))))).))))))))).....,MXfold2
bpRNA_RFAM_21625,.......((((..(((((((((.(.(((.(((((.((((.((((..........)))).)))).)))))))).).)))))))))..))))......,MXfold2
bpRNA_RFAM_15570,..(.(((((((((.......(((((......))))).((((..(((...(((.......)))..............))).))))..))))))))).)..,MXfold2
bpRNA_RFAM_7547,............((.(((((((((((.......)))))))))))...))...................................................................................,MXfold2
bpRNA_RFAM_12790,.......(((((((...((((((((.(.((.((........)).)).)))))))))((((((.........((((((.......))))))(((((((....)))))))((((.......))))((.((.(((........))).))))((((((.........)).)))).....((..(...........).)).)))))).))))))).............,MXfold2
bpRNA_RFAM_5057,..(.(((((((..(.(((........))).))))).))).).........((((.(((...((((....(((.......)))..........))))...))).)))).......(((((((((.(.(((..(((((((....(((((....((((...........))))....)))))....))..(.((.((((..(.(.....).)..)))))).)(((((((......(((.(...(..(.((.(((((....))))).)).)..)............).)))))))))).......))))).....))).)...)))))))))...........,MXfold2
