id,dataset_name,folding,method
6ZOK_0,ablation,[],C1D+R2D
5TC1_5,ablation,"[[1, 11], [2, 10], [3, 9], [4, 8]]",C1D+R2D
6HIX_2,ablation,[],C1D+R2D
5TC1_13,ablation,"[[1, 13], [2, 12], [3, 11], [4, 10], [5, 9]]",C1D+R2D
1I4C,ablation,"[[1, 13], [2, 12], [3, 11], [4, 10], [5, 9]]",C1D+R2D
6FQL,ablation,"[[1, 13], [2, 12], [3, 11], [4, 10], [5, 9]]",C1D+R2D
1HS1,ablation,"[[1, 12], [2, 11], [3, 10]]",C1D+R2D
5TC1_9,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D+R2D
1IK1,ablation,"[[1, 13], [2, 12], [3, 11], [4, 10], [5, 9]]",C1D+R2D
1K4B,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D+R2D
6T0R_0,ablation,"[[2, 9], [3, 8]]",C1D+R2D
1A4T,ablation,"[[1, 15], [2, 14], [3, 13], [4, 12], [5, 11]]",C1D+R2D
1ATW,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D+R2D
1HJI,ablation,"[[1, 15], [2, 14], [3, 13], [4, 12], [5, 11]]",C1D+R2D
2KYE,ablation,"[[1, 15], [2, 14], [3, 13], [4, 12], [5, 11], [6, 10]]",C1D+R2D
1JTW,ablation,"[[2, 15], [3, 14], [4, 13], [5, 12], [6, 11]]",C1D+R2D
2LP9,ablation,"[[1, 16], [2, 15], [3, 14], [4, 13], [5, 12]]",C1D+R2D
1XWU,ablation,"[[1, 15], [2, 14], [3, 13], [4, 12], [6, 10]]",C1D+R2D
5U34_0,ablation,"[[2, 12], [3, 11], [4, 10], [5, 9]]",C1D+R2D
2MNC_0,ablation,"[[1, 16], [2, 15], [3, 14], [4, 13], [6, 12], [7, 11]]",C1D+R2D
5TC1_12,ablation,"[[1, 16], [2, 15], [3, 14], [4, 13], [6, 12], [7, 11]]",C1D+R2D
1KOS,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13]]",C1D+R2D
2KRV,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13]]",C1D+R2D
